Species,Fern Station,Nature Park
R,260.0,172.0
QURU,31.0,131.0
W,79.0,0.0
QUAL,58.0,0.0
SAAL,0.0,25.0
OSVI,0.0,15.0
Unknown,0.0,14.0
QUVE,0.0,11.0
LITU,0.0,7.0
ACSA,0.0,2.0
TIAM,0.0,2.0
QUMU,0.0,2.0
